"id","name","region","federal_district","population","foundation_year","status","old_name","latitude","longitude"
"741","Пенза","Пензенская область","Приволжский","501109","1663","1663","","53.1937836","45.0067413"
"742","Первомайск","Нижегородская область","Приволжский","13223","XIX век","1951","Ташино (1951)","54.8666491","43.8054106"
"743","Первоуральск","Свердловская область","Уральский","114450","1732","1933","Васильевско-Шайтанский (до 1920)","56.9051246","59.9431941"
"744","Перевоз","Нижегородская область","Приволжский","8999","1593","2001","","55.596546","44.544846"
"745","Пересвет","Московская область","Центральный","11752","1948","2000","Новостройка (до 2000)","56.4158101","38.1736347"
"746","Переславль-Залесский","Ярославская область","Центральный","37738","1152","1152","Переяславль","56.7367178","38.8462714"
"747","Пермь","Пермский край","Приволжский","1034002","1723","1781","Егошихинский починок (до 1723); Егошихинский медеплавильный завод (до 1781); Молотов (с 1940 до 1957)","58.014965","56.246723"
"748","Пестово","Новгородская область","Северо-Западный","14032","1918","1965","","58.5991505","35.8230767"
"749","Петров Вал","Волгоградская область","Южный","12526","1942","1988","","50.139622","45.2141"
"750","Петровск","Саратовская область","Приволжский","26319","1698","1780","","52.3094494","45.3889831"
"751","Петровск-Забайкальский","Забайкальский край","Сибирский","15015","1789","1926","Петровский Завод (до 1926)","51.275215","108.854485"
"752","Петрозаводск","Карелия","Северо-Западный","234897","1703","1777","Шуйский Завод (с 1703 до 1704); Петровская слобода (с 1704 до 1744)","61.789221","34.3688041"
"753","Петропавловск-Камчатский","Камчатский край","Дальневосточный","164900","1740","1812","Петропавловская гавань (до 1849); Петропавловский Порт (до 1924)","53.0199838","158.6471356"
"754","Петухово","Курганская область","Уральский","8502","1779","1944","Юдино (до 1944)","55.065","67.88736"
"755","Петушки","Владимирская область","Центральный","13317","1861","1965","Новые Петушки","55.9298019","39.450831"
"756","Печора","Коми","Северо-Западный","35254","1940","1949","","65.1142862","57.16074"
"757","Печоры","Псковская область","Северо-Западный","10247","1473","1782","Печеры (до 1920); Петсери (с 1920 до 1940)","57.813305","27.608185"
"758","Пикалёво","Ленинградская область","Северо-Западный","20388","1620","1954","","59.5214773","34.1644268"
"759","Пионерский","Калининградская область","Северо-Западный","12794","1254","1952","Нойкурен (до 1946)","54.948227","20.22591"
"760","Питкяранта","Карелия","Северо-Западный","8340","XIX век","1940","Деревня на Долгом берегу, Питкерандо","61.5717807","31.4744211"
"761","Плавск","Тульская область","Центральный","16893","1563","1949","Сергиевское (до 1926)","53.7068732","37.2920333"
"762","Пласт","Челябинская область","Уральский","18379","1845","1940","Екатеринбургский сельсовет (1919—1931)","54.369812","60.807091"
"763","Плёс","Ивановская область","Центральный","1896","1410","1925","","57.459187","41.511353"
"764","Поворино","Воронежская область","Центральный","16417","1870","1954","","51.199276","42.24094"
"765","Подольск","Московская область","Центральный","314934","1559","1781","","55.4308841","37.5453056"
"766","Подпорожье","Ленинградская область","Северо-Западный","16123","1936","1956","","60.914291","34.162354"
"767","Покачи","Ханты-Мансийский АО","Уральский","16040","1984","1992","","61.7441164","75.5968105"
"768","Покров","Владимирская область","Центральный","17747","1506","1778","","55.9151547","39.1663267"
"769","Покровск","Якутия","Дальневосточный","12021","1682","1997","","61.48327","129.1540617"
"770","Полевской","Свердловская область","Уральский","55182","1718","1942","Полевской завод","56.442108","60.165859"
"771","Полесск","Калининградская область","Северо-Западный","6926","1258","1642","Лабиау (до 1946)","54.8627556","21.1098591"
"772","Полысаево","Кемеровская область","Сибирский","25631","1952","1989","","54.603142","86.276024"
"773","Полярные Зори","Мурманская область","Северо-Западный","14146","1968","1991","","67.3659225","32.5010277"
"774","Полярный","Мурманская область","Северо-Западный","12293","1896","1939","Александровск (до 1931); Полярное (до 1939)","69.199524","33.445839"
"775","Поронайск","Сахалинская область","Дальневосточный","16026","1869","1946","Тихменевский (до 1905); Сисука (до 1946)","49.2216366","143.1015759"
"776","Порхов","Псковская область","Северо-Западный","7309","1239","1239","","57.765289","29.551878"
"777","Похвистнево","Самарская область","Приволжский","27333","1888","1947","","53.646797","52.123344"
"778","Почеп","Брянская область","Центральный","14991","1447","1925","","52.92878","33.454536"
"779","Починок","Смоленская область","Центральный","7575","1868","1926","","54.404776","32.4407898"
"780","Пошехонье","Ярославская область","Центральный","5150","1680","1777","Пертома (до 1777); Пошехонье (до 1918); Пошехонье-Володарск (до 1992)","58.503201","39.119701"
"781","Правдинск","Калининградская область","Северо-Западный","3986","1312","1335","Фридланд (до 1946)","54.447144","21.01399"
"782","Приволжск","Ивановская область","Центральный","14332","1484","1938","Яковлевское (до 1924); Яковлевский (до 1938)","57.380333","41.281178"
"783","Приморск","Калининградская область","Северо-Западный","1436","1268","2008","Фишхаузен (до 1946)","54.7301946","20.0044301"
"784","Приморск","Ленинградская область","Северо-Западный","6537","1268","1940","Берёзовское (до 1323); Бьёрке (до 1709); Берёзовое (до 1920); Койвисто (до 1948)","60.366665","28.616673"
"785","Приморско-Ахтарск","Краснодарский край","Южный","31087","1854","1949","Ахтарский, Приморско-Ахтарская","46.043181","38.1554803"
