"id","name","region","federal_district","population","foundation_year","status","old_name","latitude","longitude"
"1","Абаза","Хакасия","Сибирский","12272","1867","1966","Абаканский Завод, Абаканско-Заводское","52.6510546","90.101159"
"2","Абакан","Хакасия","Сибирский","184769","1734","1931","Усть-Абаканское (до 1931)","53.72068","91.4406019"
"3","Абдулино","Оренбургская область","Приволжский","17274","1795","1923","","53.6828","53.655701"
"4","Абинск","Краснодарский край","Южный","39511","1863","1963","Абинское (до 1863); Абинская (до 1962)","44.8649528","38.1578189"
"5","Агидель","Башкортостан","Приволжский","14219","1980","1991","","55.899276","53.9374202"
"6","Агрыз","Татарстан","Приволжский","19991","1646","1938","","56.525516","52.9971643"
"7","Адыгейск","Адыгея","Южный","13175","1969","1976","Адыгейский (до 1976); Теучежск (до 1990)","44.8833775","39.1909625"
"8","Азнакаево","Татарстан","Приволжский","34750","1762","1987","","54.8629555","53.0792275"
"9","Азов","Ростовская область","Южный","81924","1067","1708","Азак, Тана","47.1139219","39.4259657"
"10","Ак-Довурак","Тыва","Сибирский","12456","1964","1964","","51.173087","90.5934434"
"11","Аксай","Ростовская область","Южный","48372","1570","1957","Аксайская","47.268696","39.861362"
"12","Алагир","Северная Осетия","Северо-Кавказский","21550","1850","1938","","43.039841","44.220451"
"13","Алапаевск","Свердловская область","Уральский","36189","1639","1781","","57.850811","61.695"
"14","Алатырь","Чувашия","Приволжский","32265","1552","1552","","54.8419041","46.5878356"
"15","Алдан","Якутия","Дальневосточный","21590","1924","1932","Незаметный (до 1939)","58.608414","125.388222"
"16","Алейск","Алтайский край","Сибирский","25380","1913","1939","","52.4986842","82.7752065"
"17","Александров","Владимирская область","Центральный","57053","XIV век","1778","Александрова слобода","56.3962287","38.7111103"
"18","Александровск","Пермский край","Приволжский","10780","1783","1951","","59.1593861","57.5861232"
"19","Александровск-Сахалинский","Сахалинская область","Дальневосточный","8854","1869","1917","Александровский пост (до 1926)","50.8974983","142.1591667"
"20","Алексеевка","Белгородская область","Центральный","36578","1685","1954","","50.6299364","38.6867154"
"21","Алексин","Тульская область","Центральный","60842","1348","1777","","54.5028103","37.0667213"
"22","Алзамай","Иркутская область","Сибирский","5373","1899","1955","","55.554956","98.6654191"
"23","Алупка","Крым","Южный","9063","960","1938","Алубика, Лупико","44.4204046","34.0483715"
"24","Алушта","Крым","Южный","31364","VI век","1902","Луста, Алустон","44.6789134","34.4109856"
"25","Альметьевск","Татарстан","Приволжский","163512","XVIII век","1953","Альметьево (до 1952)","54.9005008","52.2963777"
"26","Амурск","Хабаровский край","Дальневосточный","38606","1958","1973","Падали-Восточное","50.2265588","136.9100919"
"27","Анадырь","Чукотский АО","Дальневосточный","13202","1889","1965","Новомариинск (до 1923)","64.7316875","177.5060925"
"28","Анапа","Краснодарский край","Южный","81863","1781","1846","","44.894272","37.316887"
"29","Ангарск","Иркутская область","Сибирский","221296","1948","1951","Майск","52.5443167","103.8882138"
"30","Андреаполь","Тверская область","Центральный","6956","1907","1967","Андреяполь","56.646801","32.26532"
"31","Анжеро-Судженск","Кемеровская область","Сибирский","66583","1896","1931","","56.077808","86.019356"
"32","Анива","Сахалинская область","Дальневосточный","9638","1886","1946","Лютога (до 1905); Рутака (до 1946)","46.7147768","142.527515"
"33","Апатиты","Мурманская область","Северо-Западный","49647","1926","1966","Белый (до 1926)","67.568626","33.404392"
"34","Апрелевка","Московская область","Центральный","35514","1899","1961","","55.5454306","37.0730417"
"35","Апшеронск","Краснодарский край","Южный","40289","1863","1947","","44.4618046","39.741048"
"36","Арамиль","Свердловская область","Уральский","19013","1675","1966","","56.6962917","60.8330976"
"37","Аргун","Чечня","Северо-Кавказский","41622","XVIII век","1967","Устар-Гардой (до 1944); Колхозное (до 1962)","43.2950455","45.8688918"
"38","Ардатов","Мордовия","Приволжский","8857","1671","1780","Новотроицкое, Ардатово","54.84503","46.23863"
"39","Ардон","Северная Осетия","Северо-Кавказский","18956","1824","1964","","43.1758059","44.3055486"
"40","Арзамас","Нижегородская область","Приволжский","104908","1552","1578","","55.3857356","43.8165228"
"41","Аркадак","Саратовская область","Приволжский","10990","1721","1963","","51.942913","43.489098"
"42","Армавир","Краснодарский край","Южный","187177","1839","1914","Армянский аул (до 1848); Армавирский аул (1876)","44.9993585","41.1294061"
"43","Армянск","Крым","Южный","20692","1736","1993","Армянский Базар (до 1921)","46.113261","33.6904091"
"44","Арсеньев","Приморский край","Дальневосточный","47937","1902","1952","Семёновка (до 1952)","44.1644451","133.2704255"
"45","Арск","Татарстан","Приволжский","20421","XIII век","2008","","56.0909916","49.8771828"
"46","Артём","Приморский край","Дальневосточный","109556","1924","1938","Зыбунный","43.3529909","132.1800977"
"47","Артёмовск","Красноярский край","Сибирский","1510","1700","1939","Ольховский (до 1939)","54.349564","93.437813"
"48","Артёмовский","Свердловская область","Уральский","28943","1665","1938","Егоршинские копи","57.3431854","61.8775035"
"49","Архангельск","Архангельская область","Северо-Западный","301199","1584","1613","Новохолмогоры (до 1613)","64.543022","40.537121"
"50","Асбест","Свердловская область","Уральский","57317","1889","1933","Куделька (до 1928)","57.0052746","61.4580765"
"51","Асино","Томская область","Сибирский","24913","1896","1952","Ксеньевка (до 1933)","56.999187","86.14167"
"52","Астрахань","Астраханская область","Южный","475629","1558","1717","Хаджи-Тархан, Аштархан","46.3498308","48.0326203"
"53","Аткарск","Саратовская область","Приволжский","22709","XVIII век","1780","","51.8750207","44.997499"
"54","Ахтубинск","Астраханская область","Южный","35635","1768","1959","Владимировка (до 1959)","48.2848132","46.1643706"
"55","Ачинск","Красноярский край","Сибирский","100621","1683","1782","","56.2694846","90.4953964"
"56","Ачхой-Мартан","Чечня","Северо-Кавказский","30739","1846","2023","Новосельское (1944—1957)","43.1926252","45.2879291"
"57","Аша","Челябинская область","Уральский","27890","1898","1933","Аша-Балашовский завод","54.9908896","57.2780531"
"58","Бабаево","Вологодская область","Северо-Западный","11739","XV век","1925","","59.3887129","35.9499951"
"59","Бабушкин","Бурятия","Сибирский","4368","1760","1902","Мысовский (до 1892); Мысовая (до 1902); Мысовск (до 1941)","51.7161749","105.8635328"
"60","Бавлы","Татарстан","Приволжский","21628","1658","1997","Мансурово, Бавлы-Мансурово","54.4031069","53.2356367"
"61","Багратионовск","Калининградская область","Северо-Западный","6417","1336","1946","Прейсиш-Эйлау (до 1946)","54.3868191","20.6405124"
"62","Байкальск","Иркутская область","Сибирский","13199","1961","1966","","51.5171917","104.1410261"
"63","Баймак","Башкортостан","Приволжский","17833","1850","1938","Таналыково, Баймак-Таналыково","52.597919","58.30756"
"64","Бакал","Челябинская область","Уральский","16345","1757","1951","","54.936657","58.810249"
"65","Баксан","Кабардино-Балкария","Северо-Кавказский","39593","1891","1967","Кучмазукино (до 1920); Старая Крепость (до 1960)","43.6820626","43.5344319"
"66","Балабаново","Калужская область","Центральный","29029","1584","1972","","55.1783579","36.6575564"
"67","Балаково","Саратовская область","Приволжский","184466","1762","1911","","52.01812","47.819141"
"68","Балахна","Нижегородская область","Приволжский","48569","1474","1536","","56.4870505","43.6039553"
"69","Балашиха","Московская область","Центральный","520962","1830","1939","","55.7997662","37.9373707"
"70","Балашов","Саратовская область","Приволжский","74057","XVII век","1780","","51.5546717","43.1430732"
"71","Балей","Забайкальский край","Сибирский","10286","1736","1932","Новотроицкий промысел (до 1932)","51.578789","116.646042"
"72","Балтийск","Калининградская область","Северо-Западный","26796","1626","1725","Пиллау (до 1946)","54.6437214","19.8941584"
"73","Барабинск","Новосибирская область","Сибирский","27648","1893","1917","","55.3567611","78.350348"
"74","Барнаул","Алтайский край","Сибирский","630877","1730","1771","","53.3475493","83.7788448"
"75","Барыш","Ульяновская область","Приволжский","14924","XVII век","1954","","53.6540758","47.1013737"
"76","Батайск","Ростовская область","Южный","126988","1769","1938","Батайское, Батайская","47.138527","39.742348"
"77","Бахчисарай","Крым","Южный","28609","1532","1532","","44.7522963","33.8534782"
"78","Бежецк","Тверская область","Центральный","21466","1137","1775","Городецк (до 1766)","57.781357","36.692535"
"79","Белая Калитва","Ростовская область","Южный","40448","1703","1958","Усть-Белокалитвенская","48.1751778","40.7902124"
"80","Белая Холуница","Кировская область","Приволжский","9659","1764","1965","Белохолуницкий (до 1965)","58.8432546","50.8528865"
"81","Белгород","Белгородская область","Центральный","339978","1596","1596","","50.5955595","36.5873394"
"82","Белебей","Башкортостан","Приволжский","59195","1757","1781","","54.106495","54.107811"
"83","Белёв","Тульская область","Центральный","12846","1147","1147","","53.811798","36.137001"
"84","Белинский","Пензенская область","Приволжский","8656","1708","1780","Чембар (до 1948)","52.9669338","43.4130625"
"85","Белово","Кемеровская область","Сибирский","68542","1726","1938","","54.419323","86.303429"
"86","Белогорск","Амурская область","Дальневосточный","61440","1860","1926","Александровское (до 1926); Александровск (до 1931); Краснопартизанск (до 1936); Куйбышевка-Восточная (до 1957)","50.921326","128.47287"
"87","Белогорск","Крым","Южный","17445","XIII век","XIII век","Карасубазар (до 1944)","45.0584385","34.594959"
"88","Белозерск","Вологодская область","Северо-Западный","8375","862","862","Белоозеро","60.03199","37.7842189"
"89","Белокуриха","Алтайский край","Сибирский","14735","1846","1982","","51.9994856","84.9860861"
"90","Беломорск","Карелия","Северо-Западный","7708","XII век","1938","Сорока (до 1938)","64.5216684","34.7625835"
"91","Белоозёрский","Московская область","Центральный","13737","1961","2019","","55.4595029","38.4389885"
"92","Белорецк","Башкортостан","Приволжский","64525","1762","1923","Белорецкий завод (до 1923)","53.9680705","58.4099549"
"93","Белореченск","Краснодарский край","Южный","55870","1862","1958","Белореченская (до 1958)","44.7614149","39.8712943"
"94","Белоусово","Калужская область","Центральный","10946","1962","2004","","55.089725","36.6613397"
"95","Белоярский","Ханты-Мансийский АО","Уральский","19994","1969","1988","","63.7156353","66.6667691"
"96","Белый","Тверская область","Центральный","3125","1350","1350","","55.833073","32.939487"
"97","Бердск","Новосибирская область","Сибирский","102850","1716","1944","Бердский острог (до 1783); Колывань (до 1797); Бердское (до 1929)","54.75795","83.1068095"
"98","Березники","Пермский край","Приволжский","138069","1623","1932","","59.4084171","56.8036958"
"99","Берёзовский","Кемеровская область","Сибирский","44932","1965","1965","","55.6696946","86.275154"
"100","Берёзовский","Свердловская область","Уральский","59698","1748","1938","","56.9097871","60.8120254"
"101","Беслан","Северная Осетия","Северо-Кавказский","35929","1847","1950","Тулатово (до 1941); Иристон (до 1950)","43.1875572","44.5375689"
"102","Бийск","Алтайский край","Сибирский","183852","1709","1782","","52.5394905","85.2148673"
"103","Бикин","Хабаровский край","Дальневосточный","16240","1895","1938","","46.8188381","134.2581318"
"104","Билибино","Чукотский АО","Дальневосточный","5546","1955","1993","Каральваам (до 1956)","68.0550305","166.4448515"
"105","Биробиджан","Еврейская АО","Дальневосточный","70064","1915","1931","Тихонькая (до 1931)","48.79329","132.9269836"
"106","Бирск","Башкортостан","Приволжский","44295","1663","1781","Архангельское","55.4206774","55.5407179"
"107","Бирюсинск","Иркутская область","Сибирский","8632","1897","1967","Суетиха (до 1967)","55.9623053","97.8169774"
"108","Бирюч","Белгородская область","Центральный","7114","1705","2005","Будённый (с 1919 до 1958); Красногвардейское (с 1958 до 2007)","50.6488476","38.396442"
"109","Благовещенск","Башкортостан","Приволжский","35481","1756","1941","Благовещенский завод (до 1941)","55.031143","55.981876"
"110","Благовещенск","Амурская область","Дальневосточный","241437","1856","1858","Усть-Зейская (до 1858); Благовещенская (до 1858)","50.2600417","127.5337378"
"111","Благодарный","Ставропольский край","Северо-Кавказский","30827","1782","1971","Солдатское","45.1006298","43.4372187"
"112","Бобров","Воронежская область","Центральный","20871","1698","1711","","51.0967999","40.0307798"
"113","Богданович","Свердловская область","Уральский","30142","1885","1947","","56.7683407","62.0520774"
"114","Богородицк","Тульская область","Центральный","29560","1663","1777","","53.773571","38.126965"
"115","Богородск","Нижегородская область","Приволжский","35068","1561","1923","Богородское (до 1923)","56.103416","43.516819"
"116","Боготол","Красноярский край","Сибирский","18206","1893","1911","","56.211464","89.531639"
"117","Богучар","Воронежская область","Центральный","14370","1704","1779","","49.9324498","40.5544754"
"118","Бодайбо","Иркутская область","Сибирский","8921","1864","1903","","57.8499525","114.2039967"
"119","Бокситогорск","Ленинградская область","Северо-Западный","16185","1929","1950","Бокситы (до 1935)","59.4729021","33.8489952"
"120","Болгар","Татарстан","Приволжский","8285","X век","1957","Булгар; Спасск (до 1935); Куйбышев (до 1991)","54.9747437","49.0302075"
"121","Бологое","Тверская область","Центральный","20234","1495","1918","","57.885204","34.049603"
"122","Болотное","Новосибирская область","Сибирский","15644","1805","1943","","55.6715707","84.388557"
"123","Болохово","Тульская область","Центральный","9339","XVI век","1943","","54.085094","37.829109"
"124","Болхов","Орловская область","Центральный","9495","1196","1778","","53.448994","36.002232"
"125","Большой Камень","Приморский край","Дальневосточный","41825","1947","1989","Стройка УНР-261 (до 1956)","43.1121194","132.3509104"
"126","Бор","Нижегородская область","Приволжский","78372","XIV век","1938","","56.3598289","44.0542641"
"127","Борзя","Забайкальский край","Сибирский","29596","1899","1950","","50.3851808","116.5330685"
"128","Борисоглебск","Воронежская область","Центральный","60687","1698","1779","Новопавловск (до 1704)","51.368015","42.075169"
"129","Боровичи","Новгородская область","Северо-Западный","47883","XV век","1770","","58.389009","33.9068275"
"130","Боровск","Калужская область","Центральный","12598","1358","1358","","55.2072635","36.4827133"
"131","Бородино","Красноярский край","Сибирский","15174","1949","1981","","55.9","94.89365"
"132","Братск","Иркутская область","Сибирский","224071","1631","1955","Брацк, Братско-Острожное, Братское","56.1517085","101.6334907"
"133","Бронницы","Московская область","Центральный","21831","1453","1781","Броничи","55.422","38.2591"
"134","Брянск","Брянская область","Центральный","379152","985","985","Дебрянск","53.2423778","34.3668288"
"135","Бугры","Ленинградская область","Северо-Западный","22428","1855","2024","","60.0684741","30.3947002"
"136","Бугульма","Татарстан","Приволжский","81677","1736","1781","","54.5384152","52.7955953"
"137","Бугуруслан","Оренбургская область","Приволжский","43593","1748","1781","","53.6527806","52.4340458"
"138","Будённовск","Ставропольский край","Северо-Кавказский","58103","1799","1799","Святой Крест (до 1921); Прикумск (до 1935, с 1957 до 1973)","44.780533","44.163357"
"139","Бузулук","Оренбургская область","Приволжский","88341","1736","1781","","52.788502","52.253899"
"140","Буинск","Татарстан","Приволжский","19968","1691","1780","","54.9723656","48.2926834"
"141","Буй","Костромская область","Центральный","20564","1536","1719","","58.4816821","41.532956"
"142","Буйнакск","Дагестан","Северо-Кавказский","68121","1834","1866","Темир-Хан-Шура (до 1922)","42.8260906","47.1219624"
"143","Бутурлиновка","Воронежская область","Центральный","24397","1740","1917","","50.79605","40.6019109"
"144","Валдай","Новгородская область","Северо-Западный","14074","XV век","1770","","57.9791414","33.2537994"
"145","Валуйки","Белгородская область","Центральный","33032","1593","1593","","50.211296","38.100227"
"146","Велиж","Смоленская область","Центральный","6293","1536","1776","","55.6045223","31.1949976"
"147","Великие Луки","Псковская область","Северо-Западный","86711","1166","1777","Луки (до 1406)","56.342361","30.527922"
"148","Великий Новгород","Новгородская область","Северо-Западный","224286","VIII—IX века","859","Новгород (до 1999)","58.5209862","31.2757862"
"149","Великий Устюг","Вологодская область","Северо-Западный","28670","1147","1147","Устюг","60.7612852","46.3014666"
"150","Вельск","Архангельская область","Северо-Западный","21613","1137","1780","","61.0756446","42.0979582"
"151","Венёв","Тульская область","Центральный","12668","1371","1777","","54.3504","38.2656"
"152","Верещагино","Пермский край","Приволжский","22239","1898","1942","Очерская (до 1903); Вознесенская (до 1916)","58.072099","54.6674784"
"153","Верея","Московская область","Центральный","4906","1371","1781","","55.343238","36.185145"
"154","Верхнеуральск","Челябинская область","Уральский","8929","1734","1781","Верхояицкая пристань (до 1736); Верхояицкая крепость (до 1775); Верхнеуральская крепость (до 1781)","53.8753392","59.2197592"
"155","Верхний Тагил","Свердловская область","Уральский","10113","1716","1966","","57.3745174","59.9320798"
"156","Верхний Уфалей","Челябинская область","Уральский","22981","1761","1941","Верхне-Уфалейский завод","56.052029","60.226448"
"157","Верхняя Пышма","Свердловская область","Уральский","71335","1854","1946","Пышма; Медный Рудник (до 1946)","56.9724682","60.5738926"
"158","Верхняя Салда","Свердловская область","Уральский","41034","1778","1938","","58.043598","60.554832"
"159","Верхняя Тура","Свердловская область","Уральский","8554","1737","1941","","58.3605","59.81823"
"160","Верхотурье","Свердловская область","Уральский","6706","1597","1598","","58.861702","60.809338"
"161","Верхоянск","Якутия","Дальневосточный","828","1638","1817","","67.5495068","133.3874618"
"162","Весьегонск","Тверская область","Центральный","6330","1564","1776","","58.6637264","37.2626496"
"163","Ветлуга","Нижегородская область","Приволжский","7681","1606","1778","Верхнее Воскресенское (до 1778)","57.85287","45.7757157"
"164","Видное","Московская область","Центральный","101490","1949","1965","Паринки, Видново","55.5571496","37.7087142"
"165","Вилюйск","Якутия","Дальневосточный","10032","1634","1783","Оленск (до 1821)","63.754082","121.626549"
"166","Вилючинск","Камчатский край","Дальневосточный","21774","1968","1968","Советский (до 1970); Приморский (до 1994)","52.931834","158.405383"
"167","Вихоревка","Иркутская область","Сибирский","21719","1947","1966","","56.124722","101.171951"
"168","Вичуга","Ивановская область","Центральный","30694","1925","1925","","57.2200735","41.9239228"
"169","Владивосток","Приморский край","Дальневосточный","603519","1860","1880","","43.1150678","131.8855768"
"170","Владикавказ","Северная Осетия","Северо-Кавказский","295830","1784","1860","Орджоникидзе (с 1931 до 1944, с 1954 до 1990); Дзауджикау (с 1944 до 1954)","43.024593","44.68211"
"171","Владимир","Владимирская область","Центральный","349951","990","990","","56.1288899","40.4075203"
"172","Волгоград","Волгоградская область","Южный","1028036","1589","1780","Царицын (до 1925); Сталинград (до 1961)","48.7081906","44.5153353"
"173","Волгодонск","Ростовская область","Южный","168048","1950","1956","Волго-Донск","47.5182668","42.1525935"
"174","Волгореченск","Костромская область","Центральный","14355","1964","1994","","57.440105","41.157181"
"175","Волжск","Марий Эл","Приволжский","53013","XVI век","1940","Лопатино (до 1938)","55.8636579","48.3618598"
"176","Волжский","Волгоградская область","Южный","321479","1951","1954","","48.829992","44.7654586"
"177","Вологда","Вологодская область","Северо-Западный","313944","1147","1147","","59.2189391","39.8933913"
"178","Володарск","Нижегородская область","Приволжский","9705","XIX век","1956","Сейма (до 1920); Володары (до 1956)","56.224304","43.182655"
"179","Волоколамск","Московская область","Центральный","26389","1135","1135","Волок-на-Ламе, Волок Ламский","56.0360129","35.9583358"
"180","Волосово","Ленинградская область","Северо-Западный","11931","1870","1999","Волосва, Волосова","59.4443938","29.4925158"
"181","Волхов","Ленинградская область","Северо-Западный","38511","1918","1933","Званка (до 1933); Волховстрой (до 1940)","59.9275868","32.3276803"
"182","Волчанск","Свердловская область","Уральский","8573","1956","1956","Лесная Волчанка (до 1956)","59.9347177","60.0779677"
"183","Вольск","Саратовская область","Приволжский","55035","1780","1780","","52.042755","47.386032"
"184","Воркута","Коми","Северо-Западный","56985","1936","1943","Рудник","67.5035662","64.0627028"
"185","Воронеж","Воронежская область","Центральный","1057681","1586","1586","","51.6605982","39.2005858"
"186","Ворсма","Нижегородская область","Приволжский","10162","1588","1955","","55.988102","43.275486"
"187","Воскресенск","Московская область","Центральный","95495","1862","1938","","55.322518","38.6816824"
"188","Воткинск","Удмуртия","Приволжский","97471","1759","1935","Воткинский завод","57.052505","53.990612"
"189","Всеволожск","Ленинградская область","Северо-Западный","79038","1892","1963","","60.024006","30.646042"
"190","Вуктыл","Коми","Северо-Западный","9322","1968","1984","","63.844337","57.300171"
"191","Выборг","Ленинградская область","Северо-Западный","72530","1293","1403","","60.709217","28.744051"
"192","Выкса","Нижегородская область","Приволжский","45240","XVI век","1934","","55.318774","42.1800408"
"193","Высоковск","Московская область","Центральный","13081","1864","1940","","56.3205097","36.5521708"
"194","Высоцк","Ленинградская область","Северо-Западный","1129","1532","1940","Тронгзунд (до 1917); Уурас (до 1948)","60.6280319","28.5688339"
"195","Вытегра","Вологодская область","Северо-Западный","10386","1710","1773","","61.006498","36.4514921"
"196","Вышний Волочёк","Тверская область","Центральный","45830","1471","1770","","57.5883648","34.5720732"
"197","Вяземский","Хабаровский край","Дальневосточный","12775","1894","1951","Вяземское","47.533455","134.757874"
"198","Вязники","Владимирская область","Центральный","36203","1608","1778","","56.2469403","42.1585948"
"199","Вязьма","Смоленская область","Центральный","51950","1239","1776","","55.2103563","34.2995187"
"200","Вятские Поляны","Кировская область","Приволжский","29742","1596","1942","","56.2229946","51.0749038"
"201","Гаврилов Посад","Ивановская область","Центральный","5429","1434","1789","","56.5585501","40.1205669"
"202","Гаврилов-Ям","Ярославская область","Центральный","16084","1545","1938","Гавриловский Ям, Гаврилов-Ямская слобода","57.3032827","39.8537697"
"203","Гагарин","Смоленская область","Центральный","26500","1705","1776","Гжатск (до 1968)","55.5533865","34.9905132"
"204","Гаджиево","Мурманская область","Северо-Западный","9297","1957","1981","Ягельная Губа (до 1967); Мурманск-130 (с 1981 до 1994); Скалистый (до 1999)","69.250359","33.315281"
"205","Гай","Оренбургская область","Приволжский","33280","1959","1979","","51.471443","58.440517"
"206","Галич","Костромская область","Центральный","12856","1159","1237","Галич Мерьский","58.381382","42.347916"
"207","Гатчина","Ленинградская область","Северо-Западный","94377","1499","1796","Троцк (с 1923 до 1929); Красногвардейск (до 1944)","59.5680407","30.1252083"
"208","Гвардейск","Калининградская область","Северо-Западный","14122","1255","1722","Тапиау (до 1946)","54.6478265","21.0719431"
"209","Гдов","Псковская область","Северо-Западный","3455","XIV век","1322","","58.743066","27.8156854"
"210","Геленджик","Краснодарский край","Южный","80204","1831","1915","Торик, Пагры, Ептала","44.5609447","38.0766832"
"211","Георгиевск","Ставропольский край","Северо-Кавказский","63221","1777","1786","","44.1478944","43.4741718"
"212","Глазов","Удмуртия","Приволжский","87762","1678","1780","","58.1401196","52.6464388"
"213","Голицыно","Московская область","Центральный","22733","1872","2004","","55.6149602","36.9887625"
"214","Горбатов","Нижегородская область","Приволжский","2009","XVI век","1779","Горбатое (до 1779)","56.132816","43.058346"
"215","Горно-Алтайск","Алтай","Сибирский","65342","1830","1928","Улала (до 1932); Ойрот-Тура (до 1948)","51.957775","85.963653"
"216","Горнозаводск","Пермский край","Приволжский","11073","1947","1965","Новопашийский (до 1965)","58.374001","58.325058"
"217","Горняк","Алтайский край","Сибирский","10112","1942","1969","Золотуха","51.0004641","81.4638583"
"218","Городец","Нижегородская область","Приволжский","28660","1152","1922","","56.647141","43.476002"
"219","Городище","Пензенская область","Приволжский","7796","1681","1780","","53.273724","45.702282"
"220","Городовиковск","Калмыкия","Южный","8285","1872","1971","Башанта (до 1971)","46.082851","41.934269"
"221","Гороховец","Владимирская область","Центральный","12666","1158","1158","","56.20657","42.679035"
"222","Горячий Ключ","Краснодарский край","Южный","40903","1868","1965","","44.6342653","39.1363613"
"223","Грайворон","Белгородская область","Центральный","6179","1678","1838","","50.4837728","35.6712018"
"224","Гремячинск","Пермский край","Приволжский","8360","1941","1949","","58.5669663","57.8504049"
"225","Грозный","Чечня","Северо-Кавказский","328533","1818","1869","Грозная (до 1869)","43.3197031","45.6934308"
"226","Грязи","Липецкая область","Центральный","43908","1868","1938","","52.49612","39.955162"
"227","Грязовец","Вологодская область","Северо-Западный","14505","1538","1780","Грязовитский, Грязлевицы","58.8841692","40.2515006"
"228","Губаха","Пермский край","Приволжский","23397","1755","1941","","58.842407","57.555058"
"229","Губкин","Белгородская область","Центральный","85225","1939","1955","Коробково (до 1939)","51.283714","37.53466"
"230","Губкинский","Ямало-Ненецкий АО","Уральский","33273","1986","1996","","64.4337824","76.4898086"
"231","Гудермес","Чечня","Северо-Кавказский","64376","XIX век","1941","посёлок имени Калинина","43.3569615","46.1007864"
"232","Гуково","Ростовская область","Южный","60361","1878","1955","","48.0460281","39.9486772"
"233","Гулькевичи","Краснодарский край","Южный","33357","1875","1961","","45.3565119","40.6962256"
"234","Гурьевск","Калининградская область","Северо-Западный","26760","1262","1946","Нойхаузен (до 1946)","54.7745571","20.6037041"
"235","Гурьевск","Кемеровская область","Сибирский","22134","1816","1938","","54.284954","85.931091"
"236","Гусев","Калининградская область","Северо-Западный","29234","XVI век","1724","Биссеркемен (до 1550); Гумбиннен (до 1946)","54.5921685","22.2014752"
"237","Гусиноозёрск","Бурятия","Сибирский","24451","1939","1953","Шахты (до 1953)","51.289516","106.527008"
"238","Гусь-Хрустальный","Владимирская область","Центральный","51552","1756","1931","Гусь; Гусь-Мальцевский (до 1926)","55.6149968","40.6708665"
"239","Давлеканово","Башкортостан","Приволжский","21834","1730-е","1942","","54.2129656","55.0307219"
"240","Дагестанские Огни","Дагестан","Северо-Кавказский","31412","1914","1914","","42.1152434","48.1864201"
"241","Далматово","Курганская область","Уральский","11584","1644","1947","Служняя (до 1691); Николаевское (до 1781); Далматов (до 1924)","56.258656","62.939163"
"242","Дальнегорск","Приморский край","Дальневосточный","33655","1897","1989","Тетюхе (до 1972)","44.559457","135.5759241"
"243","Дальнереченск","Приморский край","Дальневосточный","23613","1859","1917","Иман (до 1972)","45.9337195","133.7349056"
"244","Данилов","Ярославская область","Центральный","13677","XV век","1777","Даниловское (до 1777)","58.188808","40.175114"
"245","Данков","Липецкая область","Центральный","19726","1563","1957","Донков","53.2533095","39.1591798"
"246","Дегтярск","Свердловская область","Уральский","15497","1914","1954","","56.698341","60.086807"
"247","Дедовск","Московская область","Центральный","30731","1911","1940","","55.8597808","37.1206449"
"248","Демидов","Смоленская область","Центральный","6326","1499","1776","Поречье (до 1918)","55.2643778","31.5178326"
"249","Дербент","Дагестан","Северо-Кавказский","124953","438","1840","Баб-аль-Абваб","42.057858","48.2887648"
"250","Десногорск","Смоленская область","Центральный","25345","1974","1989","","54.1516661","33.2881028"
"251","Джанкой","Крым","Южный","37014","1784","1917","","45.7083109","34.3967681"
"252","Дзержинск","Нижегородская область","Приволжский","218630","1606","1930","Чёрное (до 1927); Растяпино (до 1929)","56.2382157","43.4617405"
"253","Дзержинский","Московская область","Центральный","57918","1380-е","1981","Угреша","55.6309186","37.8496653"
"254","Дивногорск","Красноярский край","Сибирский","27477","1956","1963","Скит","55.959644","92.37542"
"255","Дигора","Северная Осетия","Северо-Кавказский","9922","1852","1964","Христиановское (до 1934)","43.16","44.15847"
"256","Димитровград","Ульяновская область","Приволжский","110968","1698","1926","Мелекесс (до 1972)","54.2177925","49.6254435"
"257","Дмитриев","Курская область","Центральный","6317","1779","1779","","52.12849","35.075439"
"258","Дмитров","Московская область","Центральный","65574","1154","1154","","56.3450695","37.5200723"
"259","Дмитровск","Орловская область","Центральный","5202","1711","1782","Дмитровка (до 1782); Дмитровск-Орловский (с 1929 до 2005)","52.509418","35.145725"
"260","Дно","Псковская область","Северо-Западный","7850","1897","1925","Донщина","57.8288277","29.9611357"
"261","Добрянка","Пермский край","Приволжский","28782","1623","1943","Домрянка","58.4619249","56.4202945"
"262","Долгопрудный","Московская область","Центральный","120907","1931","1957","Дирижаблестрой (до 1938)","55.9341491","37.5142417"
"263","Долинск","Сахалинская область","Дальневосточный","11740","1884","1946","Галкино-Врасское (до 1905); Отиай (до 1946)","47.3241456","142.7979361"
"264","Домодедово","Московская область","Центральный","152404","1900","1947","Никитск","55.4091211","37.9041662"
"265","Донецк","Ростовская область","Южный","46623","1681","1951","Гундоровская (до 1951); Гундоровка (до 1955)","48.3382864","39.9509488"
"266","Донской","Тульская область","Центральный","63837","1773","1939","Ходырев; посёлок при руднике имени А. И. Рыкова (до 1929)","53.9729348","38.3263915"
"267","Дорогобуж","Смоленская область","Центральный","9528","1150","XIII век","","54.9148236","33.2989051"
"268","Дрезна","Московская область","Центральный","12295","1897","1940","","55.7448093","38.8491341"
"269","Дубна","Московская область","Центральный","74183","1956","1956","Иваньково","56.7362705","37.1623696"
